idx	label	id	shape	nnz%	type	rank	bias
64	B05	22	[399, 375]	0.33	sparse	336	nz
65	B06	23	[410, 399]	0.31	sparse	368	nz
66	B07	24	[402, 410]	0.30	sparse	372	nz
67	B08	25	[412, 402]	0.30	sparse	372	nz
68	B09	26	[404, 412]	0.30	sparse	376	nz
69	B10	27	[412, 404]	0.29	sparse	376	nz
70	B11	28	[404, 412]	0.29	sparse	380	nz
71	B12	29	[408, 404]	0.28	sparse	380	nz
72	B13	30	[400, 408]	0.28	sparse	384	nz
73	B14	31	[352, 400]	0.31	sparse	320	nz
74	B15	32	[288, 352]	0.38	sparse	256	nz
75	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
76	B17	34	[256, 288]	0.39	sparse	256	0
77	B18	35	[319, 256]	0.47	sparse	256	nz
78	B19	36	[288, 319]	0.35	sparse	288	nz
79	B20	37	[318, 288]	0.41	sparse	288	nz
80	B21	38	[288, 318]	0.35	sparse	288	nz
81	B22	39	[316, 288]	0.41	sparse	288	nz
82	B23	40	[288, 316]	0.35	sparse	288	nz
83	B24	41	[312, 288]	0.40	sparse	288	nz
84	B25	42	[288, 312]	0.35	sparse	288	nz
85	B26	43	[304, 288]	0.38	sparse	288	nz
86	B27	44	[288, 304]	0.35	sparse	288	nz
87	B28	45	[256, 288]	0.43	sparse	224	nz
88	B29	60	[288, 256]	0.65	sparse	224	nz
89	B30	47	[256, 288]	0.39	sparse	256	0
90	B31	48	[319, 256]	0.47	sparse	256	nz
91	B32	49	[288, 319]	0.35	sparse	288	nz
92	B33	50	[318, 288]	0.41	sparse	288	nz
93	B34	51	[288, 318]	0.35	sparse	288	nz
94	B35	52	[316, 288]	0.41	sparse	288	nz
95	B36	53	[288, 316]	0.35	sparse	288	nz
96	B37	54	[312, 288]	0.40	sparse	288	nz
97	B38	55	[288, 312]	0.35	sparse	288	nz
98	B39	56	[304, 288]	0.38	sparse	288	nz
99	B40	57	[288, 304]	0.35	sparse	288	nz
100	B41	58	[256, 288]	0.43	sparse	224	nz
101	B00	61	[336, 256]	0.54	sparse	224	nz
102	B01	18	[296, 336]	0.34	sparse	296	nz
103	B02	19	[340, 296]	0.43	sparse	264	nz
104	B03	20	[332, 340]	0.41	sparse	268	nz
105	B04	21	[375, 332]	0.38	sparse	300	nz
106	B05	22	[399, 375]	0.33	sparse	336	nz
107	B06	23	[410, 399]	0.31	sparse	368	nz
108	B07	24	[402, 410]	0.30	sparse	372	nz
109	B08	25	[412, 402]	0.30	sparse	372	nz
110	B09	26	[404, 412]	0.30	sparse	376	nz
111	B10	27	[412, 404]	0.29	sparse	376	nz
112	B11	28	[404, 412]	0.29	sparse	380	nz
113	B12	29	[408, 404]	0.28	sparse	380	nz
114	B13	30	[400, 408]	0.28	sparse	384	nz
115	B14	31	[352, 400]	0.31	sparse	320	nz
116	B15	32	[288, 352]	0.38	sparse	256	nz
117	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
118	B17	34	[256, 288]	0.39	sparse	256	0
119	B18	35	[319, 256]	0.47	sparse	256	nz
120	B19	36	[288, 319]	0.35	sparse	288	nz
121	B20	37	[318, 288]	0.41	sparse	288	nz
122	B21	38	[288, 318]	0.35	sparse	288	nz
123	B22	39	[316, 288]	0.41	sparse	288	nz
124	B23	40	[288, 316]	0.35	sparse	288	nz
125	B24	41	[312, 288]	0.40	sparse	288	nz
126	B25	42	[288, 312]	0.35	sparse	288	nz
127	B26	43	[304, 288]	0.38	sparse	288	nz
128	B27	44	[288, 304]	0.35	sparse	288	nz
129	B28	45	[256, 288]	0.43	sparse	224	nz
130	B29	62	[288, 256]	0.65	sparse	224	nz
131	B30	47	[256, 288]	0.39	sparse	256	0
132	B31	48	[319, 256]	0.47	sparse	256	nz
133	B32	49	[288, 319]	0.35	sparse	288	nz
134	B33	50	[318, 288]	0.41	sparse	288	nz
135	B34	51	[288, 318]	0.35	sparse	288	nz
136	B35	52	[316, 288]	0.41	sparse	288	nz
137	B36	53	[288, 316]	0.35	sparse	288	nz
138	B37	54	[312, 288]	0.40	sparse	288	nz
139	B38	55	[288, 312]	0.35	sparse	288	nz
140	B39	56	[304, 288]	0.38	sparse	288	nz
141	B40	57	[288, 304]	0.35	sparse	288	nz
142	B41	58	[256, 288]	0.43	sparse	224	nz
143	B00	63	[336, 256]	0.54	sparse	224	nz
144	B01	18	[296, 336]	0.34	sparse	296	nz
145	B02	19	[340, 296]	0.43	sparse	264	nz
146	B03	20	[332, 340]	0.41	sparse	268	nz
147	B04	21	[375, 332]	0.38	sparse	300	nz
148	B05	22	[399, 375]	0.33	sparse	336	nz
149	B06	23	[410, 399]	0.31	sparse	368	nz
150	B07	24	[402, 410]	0.30	sparse	372	nz
151	B08	25	[412, 402]	0.30	sparse	372	nz
152	B09	26	[404, 412]	0.30	sparse	376	nz
153	B10	27	[412, 404]	0.29	sparse	376	nz
154	B11	28	[404, 412]	0.29	sparse	380	nz
155	B12	29	[408, 404]	0.28	sparse	380	nz
156	B13	30	[400, 408]	0.28	sparse	384	nz
157	B14	31	[352, 400]	0.31	sparse	320	nz
158	B15	32	[288, 352]	0.38	sparse	256	nz
159	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
160	B17	34	[256, 288]	0.39	sparse	256	0
161	B18	35	[319, 256]	0.47	sparse	256	nz
162	B19	36	[288, 319]	0.35	sparse	288	nz
163	B20	37	[318, 288]	0.41	sparse	288	nz
164	B21	38	[288, 318]	0.35	sparse	288	nz
165	B22	39	[316, 288]	0.41	sparse	288	nz
166	B23	40	[288, 316]	0.35	sparse	288	nz
167	B24	41	[312, 288]	0.40	sparse	288	nz
168	B25	42	[288, 312]	0.35	sparse	288	nz
169	B26	43	[304, 288]	0.38	sparse	288	nz
170	B27	44	[288, 304]	0.35	sparse	288	nz
171	B28	45	[256, 288]	0.43	sparse	224	nz
172	B29	64	[288, 256]	0.65	sparse	224	nz
173	B30	47	[256, 288]	0.39	sparse	256	0
174	B31	48	[319, 256]	0.47	sparse	256	nz
175	B32	49	[288, 319]	0.35	sparse	288	nz
176	B33	50	[318, 288]	0.41	sparse	288	nz
177	B34	51	[288, 318]	0.35	sparse	288	nz
178	B35	52	[316, 288]	0.41	sparse	288	nz
179	B36	53	[288, 316]	0.35	sparse	288	nz
180	B37	54	[312, 288]	0.40	sparse	288	nz
181	B38	55	[288, 312]	0.35	sparse	288	nz
182	B39	56	[304, 288]	0.38	sparse	288	nz
183	B40	57	[288, 304]	0.35	sparse	288	nz
184	B41	58	[256, 288]	0.43	sparse	224	nz
185	B00	65	[336, 256]	0.54	sparse	224	nz
186	B01	18	[296, 336]	0.34	sparse	296	nz
187	B02	19	[340, 296]	0.43	sparse	264	nz
188	B03	20	[332, 340]	0.41	sparse	268	nz
189	B04	21	[375, 332]	0.38	sparse	300	nz
190	B05	22	[399, 375]	0.33	sparse	336	nz
191	B06	23	[410, 399]	0.31	sparse	368	nz
192	B07	24	[402, 410]	0.30	sparse	372	nz
193	B08	25	[412, 402]	0.30	sparse	372	nz
194	B09	26	[404, 412]	0.30	sparse	376	nz
195	B10	27	[412, 404]	0.29	sparse	376	nz
196	B11	28	[404, 412]	0.29	sparse	380	nz
197	B12	29	[408, 404]	0.28	sparse	380	nz
198	B13	30	[400, 408]	0.28	sparse	384	nz
199	B14	31	[352, 400]	0.31	sparse	320	nz
200	B15	32	[288, 352]	0.38	sparse	256	nz
201	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
202	B17	34	[256, 288]	0.39	sparse	256	0
203	B18	35	[319, 256]	0.47	sparse	256	nz
204	B19	36	[288, 319]	0.35	sparse	288	nz
205	B20	37	[318, 288]	0.41	sparse	288	nz
206	B21	38	[288, 318]	0.35	sparse	288	nz
207	B22	39	[316, 288]	0.41	sparse	288	nz
208	B23	40	[288, 316]	0.35	sparse	288	nz
209	B24	41	[312, 288]	0.40	sparse	288	nz
210	B25	42	[288, 312]	0.35	sparse	288	nz
211	B26	43	[304, 288]	0.38	sparse	288	nz
212	B27	44	[288, 304]	0.35	sparse	288	nz
213	B28	45	[256, 288]	0.43	sparse	224	nz
214	B29	46	[288, 256]	0.65	sparse	224	nz
215	B30	47	[256, 288]	0.39	sparse	256	0
216	B31	48	[319, 256]	0.47	sparse	256	nz
217	B32	49	[288, 319]	0.35	sparse	288	nz
218	B33	50	[318, 288]	0.41	sparse	288	nz
219	B34	51	[288, 318]	0.35	sparse	288	nz
220	B35	52	[316, 288]	0.41	sparse	288	nz
221	B36	53	[288, 316]	0.35	sparse	288	nz
222	B37	54	[312, 288]	0.40	sparse	288	nz
223	B38	55	[288, 312]	0.35	sparse	288	nz
224	B39	56	[304, 288]	0.38	sparse	288	nz
225	B40	57	[288, 304]	0.35	sparse	288	nz
226	B41	58	[256, 288]	0.43	sparse	224	nz
227	B00	66	[336, 256]	0.54	sparse	224	nz
228	B01	18	[296, 336]	0.34	sparse	296	nz
229	B02	19	[340, 296]	0.43	sparse	264	nz
230	B03	20	[332, 340]	0.41	sparse	268	nz
231	B04	21	[375, 332]	0.38	sparse	300	nz
232	B05	22	[399, 375]	0.33	sparse	336	nz
233	B06	23	[410, 399]	0.31	sparse	368	nz
234	B07	24	[402, 410]	0.30	sparse	372	nz
235	B08	25	[412, 402]	0.30	sparse	372	nz
236	B09	26	[404, 412]	0.30	sparse	376	nz
237	B10	27	[412, 404]	0.29	sparse	376	nz
238	B11	28	[404, 412]	0.29	sparse	380	nz
239	B12	29	[408, 404]	0.28	sparse	380	nz
240	B13	30	[400, 408]	0.28	sparse	384	nz
241	B14	31	[352, 400]	0.31	sparse	320	nz
242	B15	32	[288, 352]	0.38	sparse	256	nz
243	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
244	B17	34	[256, 288]	0.39	sparse	256	0
245	B18	35	[319, 256]	0.47	sparse	256	nz
246	B19	36	[288, 319]	0.35	sparse	288	nz
247	B20	37	[318, 288]	0.41	sparse	288	nz
248	B21	38	[288, 318]	0.35	sparse	288	nz
249	B22	39	[316, 288]	0.41	sparse	288	nz
250	B23	40	[288, 316]	0.35	sparse	288	nz
251	B24	41	[312, 288]	0.40	sparse	288	nz
252	B25	42	[288, 312]	0.35	sparse	288	nz
253	B26	43	[304, 288]	0.38	sparse	288	nz
254	B27	44	[288, 304]	0.35	sparse	288	nz
255	B28	45	[256, 288]	0.43	sparse	224	nz
256	B29	60	[288, 256]	0.65	sparse	224	nz
257	B30	47	[256, 288]	0.39	sparse	256	0
258	B31	48	[319, 256]	0.47	sparse	256	nz
259	B32	49	[288, 319]	0.35	sparse	288	nz
260	B33	50	[318, 288]	0.41	sparse	288	nz
261	B34	51	[288, 318]	0.35	sparse	288	nz
262	B35	52	[316, 288]	0.41	sparse	288	nz
263	B36	53	[288, 316]	0.35	sparse	288	nz
264	B37	54	[312, 288]	0.40	sparse	288	nz
265	B38	55	[288, 312]	0.35	sparse	288	nz
266	B39	56	[304, 288]	0.38	sparse	288	nz
267	B40	57	[288, 304]	0.35	sparse	288	nz
268	B41	58	[256, 288]	0.43	sparse	224	nz
269	B00	67	[336, 256]	0.54	sparse	224	nz
270	B01	18	[296, 336]	0.34	sparse	296	nz
271	B02	19	[340, 296]	0.43	sparse	264	nz
272	B03	20	[332, 340]	0.41	sparse	268	nz
273	B04	21	[375, 332]	0.38	sparse	300	nz
274	B05	22	[399, 375]	0.33	sparse	336	nz
275	B06	23	[410, 399]	0.31	sparse	368	nz
276	B07	24	[402, 410]	0.30	sparse	372	nz
277	B08	25	[412, 402]	0.30	sparse	372	nz
278	B09	26	[404, 412]	0.30	sparse	376	nz
279	B10	27	[412, 404]	0.29	sparse	376	nz
280	B11	28	[404, 412]	0.29	sparse	380	nz
281	B12	29	[408, 404]	0.28	sparse	380	nz
282	B13	30	[400, 408]	0.28	sparse	384	nz
283	B14	31	[352, 400]	0.31	sparse	320	nz
284	B15	32	[288, 352]	0.38	sparse	256	nz
285	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
286	B17	34	[256, 288]	0.39	sparse	256	0
287	B18	35	[319, 256]	0.47	sparse	256	nz
288	B19	36	[288, 319]	0.35	sparse	288	nz
289	B20	37	[318, 288]	0.41	sparse	288	nz
290	B21	38	[288, 318]	0.35	sparse	288	nz
291	B22	39	[316, 288]	0.41	sparse	288	nz
292	B23	40	[288, 316]	0.35	sparse	288	nz
293	B24	41	[312, 288]	0.40	sparse	288	nz
294	B25	42	[288, 312]	0.35	sparse	288	nz
295	B26	43	[304, 288]	0.38	sparse	288	nz
296	B27	44	[288, 304]	0.35	sparse	288	nz
297	B28	45	[256, 288]	0.43	sparse	224	nz
298	B29	62	[288, 256]	0.65	sparse	224	nz
299	B30	47	[256, 288]	0.39	sparse	256	0
300	B31	48	[319, 256]	0.47	sparse	256	nz
301	B32	49	[288, 319]	0.35	sparse	288	nz
302	B33	50	[318, 288]	0.41	sparse	288	nz
303	B34	51	[288, 318]	0.35	sparse	288	nz
304	B35	52	[316, 288]	0.41	sparse	288	nz
305	B36	53	[288, 316]	0.35	sparse	288	nz
306	B37	54	[312, 288]	0.40	sparse	288	nz
307	B38	55	[288, 312]	0.35	sparse	288	nz
308	B39	56	[304, 288]	0.38	sparse	288	nz
309	B40	57	[288, 304]	0.35	sparse	288	nz
310	B41	58	[256, 288]	0.43	sparse	224	nz
311	B00	68	[336, 256]	0.54	sparse	224	nz
312	B01	18	[296, 336]	0.34	sparse	296	nz
313	B02	19	[340, 296]	0.43	sparse	264	nz
314	B03	20	[332, 340]	0.41	sparse	268	nz
315	B04	21	[375, 332]	0.38	sparse	300	nz
316	B05	22	[399, 375]	0.33	sparse	336	nz
317	B06	23	[410, 399]	0.31	sparse	368	nz
318	B07	24	[402, 410]	0.30	sparse	372	nz
319	B08	25	[412, 402]	0.30	sparse	372	nz
320	B09	26	[404, 412]	0.30	sparse	376	nz
321	B10	27	[412, 404]	0.29	sparse	376	nz
322	B11	28	[404, 412]	0.29	sparse	380	nz
323	B12	29	[408, 404]	0.28	sparse	380	nz
324	B13	30	[400, 408]	0.28	sparse	384	nz
325	B14	31	[352, 400]	0.31	sparse	320	nz
326	B15	32	[288, 352]	0.38	sparse	256	nz
327	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
328	B17	34	[256, 288]	0.39	sparse	256	0
329	B18	35	[319, 256]	0.47	sparse	256	nz
330	B19	36	[288, 319]	0.35	sparse	288	nz
331	B20	37	[318, 288]	0.41	sparse	288	nz
332	B21	38	[288, 318]	0.35	sparse	288	nz
333	B22	39	[316, 288]	0.41	sparse	288	nz
334	B23	40	[288, 316]	0.35	sparse	288	nz
335	B24	41	[312, 288]	0.40	sparse	288	nz
336	B25	42	[288, 312]	0.35	sparse	288	nz
337	B26	43	[304, 288]	0.38	sparse	288	nz
338	B27	44	[288, 304]	0.35	sparse	288	nz
339	B28	45	[256, 288]	0.43	sparse	224	nz
340	B29	64	[288, 256]	0.65	sparse	224	nz
341	B30	47	[256, 288]	0.39	sparse	256	0
342	B31	48	[319, 256]	0.47	sparse	256	nz
343	B32	49	[288, 319]	0.35	sparse	288	nz
344	B33	50	[318, 288]	0.41	sparse	288	nz
345	B34	51	[288, 318]	0.35	sparse	288	nz
346	B35	52	[316, 288]	0.41	sparse	288	nz
347	B36	53	[288, 316]	0.35	sparse	288	nz
348	B37	54	[312, 288]	0.40	sparse	288	nz
349	B38	55	[288, 312]	0.35	sparse	288	nz
350	B39	56	[304, 288]	0.38	sparse	288	nz
351	B40	57	[288, 304]	0.35	sparse	288	nz
352	B41	58	[256, 288]	0.43	sparse	224	nz
353	B00	69	[336, 256]	0.54	sparse	224	nz
354	B01	18	[296, 336]	0.34	sparse	296	nz
355	B02	19	[340, 296]	0.43	sparse	264	nz
356	B03	20	[332, 340]	0.41	sparse	268	nz
357	B04	21	[375, 332]	0.38	sparse	300	nz
358	B05	22	[399, 375]	0.33	sparse	336	nz
359	B06	23	[410, 399]	0.31	sparse	368	nz
360	B07	24	[402, 410]	0.30	sparse	372	nz
361	B08	25	[412, 402]	0.30	sparse	372	nz
362	B09	26	[404, 412]	0.30	sparse	376	nz
363	B10	27	[412, 404]	0.29	sparse	376	nz
364	B11	28	[404, 412]	0.29	sparse	380	nz
365	B12	29	[408, 404]	0.28	sparse	380	nz
366	B13	30	[400, 408]	0.28	sparse	384	nz
367	B14	31	[352, 400]	0.31	sparse	320	nz
368	B15	32	[288, 352]	0.38	sparse	256	nz
369	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
370	B17	34	[256, 288]	0.39	sparse	256	0
371	B18	35	[319, 256]	0.47	sparse	256	nz
372	B19	36	[288, 319]	0.35	sparse	288	nz
373	B20	37	[318, 288]	0.41	sparse	288	nz
374	B21	38	[288, 318]	0.35	sparse	288	nz
375	B22	39	[316, 288]	0.41	sparse	288	nz
376	B23	40	[288, 316]	0.35	sparse	288	nz
377	B24	41	[312, 288]	0.40	sparse	288	nz
378	B25	42	[288, 312]	0.35	sparse	288	nz
379	B26	43	[304, 288]	0.38	sparse	288	nz
380	B27	44	[288, 304]	0.35	sparse	288	nz
381	B28	45	[256, 288]	0.43	sparse	224	nz
382	B29	46	[288, 256]	0.65	sparse	224	nz
383	B30	47	[256, 288]	0.39	sparse	256	0
384	B31	48	[319, 256]	0.47	sparse	256	nz
385	B32	49	[288, 319]	0.35	sparse	288	nz
386	B33	50	[318, 288]	0.41	sparse	288	nz
387	B34	51	[288, 318]	0.35	sparse	288	nz
388	B35	52	[316, 288]	0.41	sparse	288	nz
389	B36	53	[288, 316]	0.35	sparse	288	nz
390	B37	54	[312, 288]	0.40	sparse	288	nz
391	B38	55	[288, 312]	0.35	sparse	288	nz
392	B39	56	[304, 288]	0.38	sparse	288	nz
393	B40	57	[288, 304]	0.35	sparse	288	nz
394	B41	58	[256, 288]	0.43	sparse	224	nz
395	B00	70	[336, 256]	0.54	sparse	224	nz
396	B01	18	[296, 336]	0.34	sparse	296	nz
397	B02	19	[340, 296]	0.43	sparse	264	nz
398	B03	20	[332, 340]	0.41	sparse	268	nz
399	B04	21	[375, 332]	0.38	sparse	300	nz
400	B05	22	[399, 375]	0.33	sparse	336	nz
401	B06	23	[410, 399]	0.31	sparse	368	nz
402	B07	24	[402, 410]	0.30	sparse	372	nz
403	B08	25	[412, 402]	0.30	sparse	372	nz
404	B09	26	[404, 412]	0.30	sparse	376	nz
405	B10	27	[412, 404]	0.29	sparse	376	nz
406	B11	28	[404, 412]	0.29	sparse	380	nz
407	B12	29	[408, 404]	0.28	sparse	380	nz
408	B13	30	[400, 408]	0.28	sparse	384	nz
409	B14	31	[352, 400]	0.31	sparse	320	nz
410	B15	32	[288, 352]	0.38	sparse	256	nz
411	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
412	B17	34	[256, 288]	0.39	sparse	256	0
413	B18	35	[319, 256]	0.47	sparse	256	nz
414	B19	36	[288, 319]	0.35	sparse	288	nz
415	B20	37	[318, 288]	0.41	sparse	288	nz
416	B21	38	[288, 318]	0.35	sparse	288	nz
417	B22	39	[316, 288]	0.41	sparse	288	nz
418	B23	40	[288, 316]	0.35	sparse	288	nz
419	B24	41	[312, 288]	0.40	sparse	288	nz
420	B25	42	[288, 312]	0.35	sparse	288	nz
421	B26	43	[304, 288]	0.38	sparse	288	nz
422	B27	44	[288, 304]	0.35	sparse	288	nz
423	B28	45	[256, 288]	0.43	sparse	224	nz
424	B29	60	[288, 256]	0.65	sparse	224	nz
425	B30	47	[256, 288]	0.39	sparse	256	0
426	B31	48	[319, 256]	0.47	sparse	256	nz
427	B32	49	[288, 319]	0.35	sparse	288	nz
428	B33	50	[318, 288]	0.41	sparse	288	nz
429	B34	51	[288, 318]	0.35	sparse	288	nz
430	B35	52	[316, 288]	0.41	sparse	288	nz
431	B36	53	[288, 316]	0.35	sparse	288	nz
432	B37	54	[312, 288]	0.40	sparse	288	nz
433	B38	55	[288, 312]	0.35	sparse	288	nz
434	B39	56	[304, 288]	0.38	sparse	288	nz
435	B40	57	[288, 304]	0.35	sparse	288	nz
436	B41	58	[256, 288]	0.43	sparse	224	nz
437	B00	71	[336, 256]	0.54	sparse	224	nz
438	B01	18	[296, 336]	0.34	sparse	296	nz
439	B02	19	[340, 296]	0.43	sparse	264	nz
440	B03	20	[332, 340]	0.41	sparse	268	nz
441	B04	21	[375, 332]	0.38	sparse	300	nz
442	B05	22	[399, 375]	0.33	sparse	336	nz
443	B06	23	[410, 399]	0.31	sparse	368	nz
444	B07	24	[402, 410]	0.30	sparse	372	nz
445	B08	25	[412, 402]	0.30	sparse	372	nz
446	B09	26	[404, 412]	0.30	sparse	376	nz
447	B10	27	[412, 404]	0.29	sparse	376	nz
448	B11	28	[404, 412]	0.29	sparse	380	nz
449	B12	29	[408, 404]	0.28	sparse	380	nz
450	B13	30	[400, 408]	0.28	sparse	384	nz
451	B14	31	[352, 400]	0.31	sparse	320	nz
452	B15	32	[288, 352]	0.38	sparse	256	nz
453	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
454	B17	34	[256, 288]	0.39	sparse	256	0
455	B18	35	[319, 256]	0.47	sparse	256	nz
456	B19	36	[288, 319]	0.35	sparse	288	nz
457	B20	37	[318, 288]	0.41	sparse	288	nz
458	B21	38	[288, 318]	0.35	sparse	288	nz
459	B22	39	[316, 288]	0.41	sparse	288	nz
460	B23	40	[288, 316]	0.35	sparse	288	nz
461	B24	41	[312, 288]	0.40	sparse	288	nz
462	B25	42	[288, 312]	0.35	sparse	288	nz
463	B26	43	[304, 288]	0.38	sparse	288	nz
464	B27	44	[288, 304]	0.35	sparse	288	nz
465	B28	45	[256, 288]	0.43	sparse	224	nz
466	B29	62	[288, 256]	0.65	sparse	224	nz
467	B30	47	[256, 288]	0.39	sparse	256	0
468	B31	48	[319, 256]	0.47	sparse	256	nz
469	B32	49	[288, 319]	0.35	sparse	288	nz
470	B33	50	[318, 288]	0.41	sparse	288	nz
471	B34	51	[288, 318]	0.35	sparse	288	nz
472	B35	52	[316, 288]	0.41	sparse	288	nz
473	B36	53	[288, 316]	0.35	sparse	288	nz
474	B37	54	[312, 288]	0.40	sparse	288	nz
475	B38	55	[288, 312]	0.35	sparse	288	nz
476	B39	56	[304, 288]	0.38	sparse	288	nz
477	B40	57	[288, 304]	0.35	sparse	288	nz
478	B41	58	[256, 288]	0.43	sparse	224	nz
479	B00	72	[336, 256]	0.54	sparse	224	nz
480	B01	18	[296, 336]	0.34	sparse	296	nz
481	B02	19	[340, 296]	0.43	sparse	264	nz
482	B03	20	[332, 340]	0.41	sparse	268	nz
483	B04	21	[375, 332]	0.38	sparse	300	nz
484	B05	22	[399, 375]	0.33	sparse	336	nz
485	B06	23	[410, 399]	0.31	sparse	368	nz
486	B07	24	[402, 410]	0.30	sparse	372	nz
487	B08	25	[412, 402]	0.30	sparse	372	nz
488	B09	26	[404, 412]	0.30	sparse	376	nz
489	B10	27	[412, 404]	0.29	sparse	376	nz
490	B11	28	[404, 412]	0.29	sparse	380	nz
491	B12	29	[408, 404]	0.28	sparse	380	nz
492	B13	30	[400, 408]	0.28	sparse	384	nz
493	B14	31	[352, 400]	0.31	sparse	320	nz
494	B15	32	[288, 352]	0.38	sparse	256	nz
495	B16	33	[288, 288]	0.58	identity_plus_delta	224	nz
496	B17	34	[256, 288]	0.39	sparse	256	0
497	B18	35	[319, 256]	0.47	sparse	256	nz
498	B19	36	[288, 319]	0.35	sparse	288	nz
499	B20	37	[318, 288]	0.41	sparse	288	nz
500	B21	38	[288, 318]	0.35	sparse	288	nz
501	B22	39	[316, 288]	0.41	sparse	288	nz
502	B23	40	[288, 316]	0.35	sparse	288	nz
503	B24	41	[312, 288]	0.40	sparse	288	nz
504	B25	42	[288, 312]	0.35	sparse	288	nz
505	B26	43	[304, 288]	0.38	sparse	288	nz
506	B27	44	[288, 304]	0.35	sparse	288	nz
507	B28	45	[256, 288]	0.43	sparse	224	nz
508	B29	64	[288, 256]	0.65	sparse	224	nz
509	B30	47	[256, 288]	0.39	sparse	256	0
510	B31	48	[319, 256]	0.47	sparse	256	nz
511	B32	49	[288, 319]	0.35	sparse	288	nz
512	B33	50	[318, 288]	0.41	sparse	288	nz
513	B34	51	[288, 318]	0.35	sparse	288	nz
